Time,Longitude,Latitude,ortho_fit
2022-07-17T18:45:00.477,-115.191243,36.204286,2146.00100642382
2022-07-17T18:45:01.492,-115.1912,36.204264,2151.68627281812
2022-07-17T18:45:02.414,-115.191178,36.204243,2155.65544211384
2022-07-17T18:45:03.484,-115.191135,36.204264,2159.20207007082
2022-07-17T18:45:05.141,-115.191071,36.204307,2162.9125623159
2022-07-17T18:45:06.102,-115.191114,36.204329,2164.34748253101
2022-07-17T18:45:08.813,-115.191114,36.204371,2166.69962809549
2022-07-17T18:45:11.836,-115.191135,36.20435,2167.76586844889
2022-07-17T18:45:12.906,-115.191114,36.204371,2167.88145943098
2022-07-17T18:45:13.914,-115.191135,36.20435,2167.92114155281
2022-07-17T18:45:14.977,-115.191114,36.204371,2167.89780771735
2022-07-17T18:45:17.156,-115.191135,36.20435,2167.61533575048
2022-07-17T18:45:18.141,-115.191114,36.204371,2167.41549286661
2022-07-17T18:45:19.836,-115.191135,36.20435,2167.10183030652
2022-07-17T18:45:22.406,-115.191114,36.204371,2167
2022-07-17T18:45:23.414,-115.191135,36.20435,2167
2022-07-17T18:45:25.375,-115.191114,36.204371,2167
2022-07-17T18:45:26.375,-115.191135,36.20435,2167
2022-07-17T18:45:28.414,-115.191114,36.204371,2167
2022-07-17T18:45:29.516,-115.191135,36.20435,2167
2022-07-17T18:45:30.461,-115.191114,36.204371,2167
2022-07-17T18:45:31.555,-115.191135,36.20435,2167
2022-07-17T18:45:34.094,-115.191114,36.204371,2167
2022-07-17T18:45:35.172,-115.191135,36.20435,2167
2022-07-17T18:45:36.109,-115.191114,36.204371,2167
2022-07-17T18:45:38.711,-115.191135,36.20435,2167
2022-07-17T18:45:40.391,-115.191114,36.204371,2167
2022-07-17T18:45:42.375,-115.191135,36.20435,2167
2022-07-17T18:45:43.203,-115.191114,36.204371,2167
2022-07-17T18:45:44.250,-115.191135,36.20435,2167
2022-07-17T18:45:45.227,-115.191114,36.204371,2167
2022-07-17T18:45:46.313,-115.191135,36.20435,2167
2022-07-17T18:45:48.570,-115.191114,36.204371,2167
2022-07-17T18:45:49.555,-115.191135,36.20435,2167
2022-07-17T18:45:50.453,-115.191114,36.204371,2167
2022-07-17T18:45:53.492,-115.191135,36.20435,2167
2022-07-17T18:45:55.266,-115.191114,36.204371,2167
2022-07-17T18:45:57.047,-115.191135,36.20435,2167
2022-07-17T18:45:58.461,-115.191114,36.204371,2167
2022-07-17T18:45:59.383,-115.191135,36.20435,2167
2022-07-17T18:46:00.430,-115.191114,36.204371,2167
2022-07-17T18:46:01.445,-115.191135,36.20435,2167
2022-07-17T18:46:03.703,-115.191114,36.204371,2167
2022-07-17T18:46:05.875,-115.191135,36.20435,2167
2022-07-17T18:46:11.375,-115.191114,36.204371,2167
2022-07-17T18:46:13.516,-115.191135,36.20435,2167
2022-07-17T18:46:15.695,-115.191114,36.204371,2167
2022-07-17T18:46:16.695,-115.191135,36.20435,2167
2022-07-17T18:46:17.594,-115.191114,36.204371,2167
2022-07-17T18:46:18.664,-115.191135,36.20435,2167
2022-07-17T18:46:19.672,-115.191114,36.204371,2167
2022-07-17T18:46:20.625,-115.191135,36.20435,2167
2022-07-17T18:46:23.742,-115.191114,36.204371,2167
2022-07-17T18:46:28.695,-115.191135,36.20435,2167
2022-07-17T18:46:30.977,-115.191114,36.204371,2167
2022-07-17T18:46:31.813,-115.191135,36.20435,2167
2022-07-17T18:46:32.813,-115.191114,36.204371,2167
2022-07-17T18:46:33.961,-115.191135,36.20435,2167
2022-07-17T18:46:36.023,-115.191114,36.204371,2167
2022-07-17T18:46:39.516,-115.191135,36.20435,2167
2022-07-17T18:46:40.492,-115.191114,36.204371,2167
2022-07-17T18:46:45.492,-115.191135,36.20435,2167
2022-07-17T18:46:47.336,-115.191114,36.204371,2167
2022-07-17T18:46:48.305,-115.191135,36.20435,2167
2022-07-17T18:46:49.344,-115.191114,36.204371,2167
2022-07-17T18:46:53.477,-115.191135,36.20435,2167
2022-07-17T18:46:56.164,-115.191114,36.204371,2167
2022-07-17T18:46:57.195,-115.191135,36.20435,2167
2022-07-17T18:46:58.836,-115.191114,36.204371,2167
2022-07-17T18:46:59.867,-115.191135,36.20435,2167
2022-07-17T18:47:02.984,-115.191114,36.204371,2167
2022-07-17T18:47:08.211,-115.191135,36.20435,2167
2022-07-17T18:47:09.234,-115.191114,36.204371,2167
2022-07-17T18:47:10.375,-115.191135,36.20435,2167
2022-07-17T18:47:24.977,-115.191114,36.204371,2167
2022-07-17T18:47:25.883,-115.191135,36.204393,2167
2022-07-17T18:47:26.914,-115.191114,36.204371,2167
2022-07-17T18:47:29.594,-115.191135,36.20435,2167
2022-07-17T18:47:30.625,-115.191135,36.204393,2167
2022-07-17T18:47:31.617,-115.191114,36.204371,2167
2022-07-17T18:47:32.688,-115.191135,36.204393,2167
2022-07-17T18:47:33.711,-115.191114,36.204371,2167
