timeGE,Longitude,Latitude,AltMSL
2022-07-17T18:45:00.688,-115.048410410207,37.0677171138197,18681.0025838423
2022-07-17T18:45:01.398,-115.048424125885,37.0670766453763,18674.699402677
2022-07-17T18:45:01.805,-115.048431537779,37.0667102306387,18670.8305423215
2022-07-17T18:45:02.398,-115.048441827519,37.0661767357597,18665.1936032777
2022-07-17T18:45:02.859,-115.048449431578,37.0657621149686,18660.3761252697
2022-07-17T18:45:03.594,-115.048460858388,37.065101023424,18652.6953306147
2022-07-17T18:45:03.938,-115.04846590925,37.0647914872039,18648.7793571317
2022-07-17T18:45:04.398,-115.048472358641,37.0643773613707,18643.5428809623
2022-07-17T18:45:05.039,-115.048480732621,37.0637997400009,18635.7927032561
2022-07-17T18:45:05.594,-115.04848737867,37.0632990633717,18628.7580165332
2022-07-17T18:45:06.055,-115.048492464973,37.0628828790068,18622.4942050451
2022-07-17T18:45:07.039,-115.048502047932,37.0619938522002,18609.1241605671
2022-07-17T18:45:08.164,-115.04851100168,37.0609765576456,18592.7039643895
2022-07-17T18:45:08.797,-115.04851516839,37.0604040311329,18583.1188867031
2022-07-17T18:45:09.164,-115.048517323024,37.0600721001207,18577.430111281
2022-07-17T18:45:09.594,-115.048519609077,37.0596831682269,18570.6345729195
2022-07-17T18:45:10.195,-115.048522416139,37.059139563335,18561.1366227908
2022-07-17T18:45:11.195,-115.048526351332,37.0582354540608,18544.9305070148
2022-07-17T18:45:12.406,-115.048529906223,37.0571421051651,18524.9643960552
2022-07-17T18:45:13.195,-115.048531133797,37.0564311331672,18511.818455707
2022-07-17T18:45:13.492,-115.048531375321,37.0561639063188,18506.832368532
2022-07-17T18:45:14.414,-115.048531596402,37.0553355051494,18491.3536736651
2022-07-17T18:45:14.797,-115.048531447937,37.0549917238609,18484.870623225
2022-07-17T18:45:15.313,-115.048530861206,37.0545287224183,18476.1362785071
2022-07-17T18:45:15.594,-115.048530298507,37.0542766465962,18471.3434307989
2022-07-17T18:45:16.273,-115.048528125268,37.0536675670382,18459.7621368704
