Time,Longitude,Latitude,ortho_mavg
2022-07-17T18:45:00.203,-115.505705,36.114893,6513.8
2022-07-17T18:45:01.047,-115.506113,36.114292,6513.8
2022-07-17T18:45:10.023,-115.506692,36.107833,6522.1333333333
2022-07-17T18:45:11.016,-115.506349,36.107168,6563.8
2022-07-17T18:45:11.883,-115.505962,36.106567,6598.8
2022-07-17T18:45:12.828,-115.505512,36.106052,6648.8
2022-07-17T18:45:13.867,-115.504932,36.105516,6713.8
2022-07-17T18:45:14.938,-115.504246,36.105001,6783.8
2022-07-17T18:45:15.969,-115.503538,36.104658,6833.8
2022-07-17T18:45:16.398,-115.503302,36.104572,6873.8
2022-07-17T18:45:17.320,-115.502701,36.104314,6928.8
2022-07-17T18:45:18.344,-115.502014,36.104057,6984
2022-07-17T18:45:19.469,-115.501435,36.103735,7044
2022-07-17T18:45:20.359,-115.500898,36.103456,7104
2022-07-17T18:45:20.820,-115.500727,36.103306,7164
2022-07-17T18:45:21.938,-115.500019,36.102898,7209.2
2022-07-17T18:45:22.945,-115.499439,36.102576,7249.2
2022-07-17T18:45:24.000,-115.498796,36.102276,7259.4
2022-07-17T18:45:25.094,-115.498066,36.10204,7224.6
2022-07-17T18:45:26.102,-115.497272,36.10189,7169.8
2022-07-17T18:45:27.273,-115.496242,36.101804,7074.8
2022-07-17T18:45:28.266,-115.495255,36.101761,6924.8
2022-07-17T18:45:29.156,-115.494311,36.101718,6779.8
2022-07-17T18:45:30.070,-115.493367,36.101761,6669.8
2022-07-17T18:45:31.055,-115.492294,36.101761,6544.8
2022-07-17T18:45:32.141,-115.491028,36.101761,6444.8
2022-07-17T18:45:33.055,-115.490041,36.101675,6389.8
2022-07-17T18:45:33.883,-115.489204,36.101525,6344.8
2022-07-17T18:45:34.875,-115.488174,36.10131,6304.8
2022-07-17T18:45:35.883,-115.487187,36.100988,6304.8
2022-07-17T18:45:36.820,-115.48635,36.100645,6314.8
2022-07-17T18:45:37.734,-115.485535,36.100194,6339.8
2022-07-17T18:45:38.734,-115.484741,36.099744,6374.8
2022-07-17T18:45:39.844,-115.483947,36.09925,6394.8
2022-07-17T18:45:40.719,-115.48341,36.098886,6439.8
2022-07-17T18:45:41.672,-115.482788,36.098371,6499.8
2022-07-17T18:45:42.648,-115.482144,36.097856,6554.8
2022-07-17T18:45:43.656,-115.481586,36.097362,6604.8
2022-07-17T18:45:44.734,-115.481007,36.096826,6669.8
2022-07-17T18:45:45.625,-115.480578,36.096375,6709.8
2022-07-17T18:45:46.539,-115.480042,36.09586,6734.8
2022-07-17T18:45:47.711,-115.479527,36.095216,6749.8
2022-07-17T18:45:48.750,-115.479012,36.094615,6759.8
2022-07-17T18:45:50.211,-115.478454,36.093757,6764.8
2022-07-17T18:45:51.188,-115.47811,36.093156,6764.8
2022-07-17T18:45:52.469,-115.477703,36.092384,6764.8
2022-07-17T18:45:53.445,-115.477467,36.091719,6764.8
2022-07-17T18:45:54.430,-115.477359,36.091118,6764.8
2022-07-17T18:45:55.383,-115.477295,36.090453,6764.8
2022-07-17T18:45:56.406,-115.477295,36.089809,6764.8
2022-07-17T18:45:57.336,-115.477402,36.089165,6744.8
2022-07-17T18:45:58.250,-115.477595,36.088607,6744.8
2022-07-17T18:45:59.195,-115.477831,36.088049,6744.8
2022-07-17T18:46:00.273,-115.478153,36.087384,6744.8
2022-07-17T18:46:01.320,-115.478561,36.086848,6739.8
2022-07-17T18:46:02.336,-115.479012,36.086247,6754.8
2022-07-17T18:46:03.313,-115.479462,36.085775,6744.8
2022-07-17T18:46:04.289,-115.479934,36.085281,6739.8
2022-07-17T18:46:05.250,-115.480385,36.084745,6734.8
2022-07-17T18:46:07.570,-115.480921,36.083329,6739.8
2022-07-17T18:46:09.164,-115.480857,36.08232,6744.8
2022-07-17T18:46:10.086,-115.480728,36.081719,6754.8
2022-07-17T18:46:11.688,-115.480149,36.080711,6764.8
2022-07-17T18:46:12.539,-115.479763,36.080153,6744.8
2022-07-17T18:46:13.656,-115.479076,36.079509,6734.8
2022-07-17T18:46:14.719,-115.478389,36.078973,6684.8
2022-07-17T18:46:15.867,-115.477467,36.078415,6624.8
2022-07-17T18:46:16.891,-115.476716,36.077921,6559.8
2022-07-17T18:46:17.922,-115.476029,36.077363,6524.8
2022-07-17T18:46:18.844,-115.475428,36.076827,6474.8
2022-07-17T18:46:19.914,-115.474827,36.076226,6474.8
2022-07-17T18:46:21.547,-115.474098,36.075175,6489.8
2022-07-17T18:46:22.570,-115.473733,36.074531,6509.8
2022-07-17T18:46:23.586,-115.473433,36.073844,6534.8
2022-07-17T18:46:24.578,-115.473261,36.073179,6564.8
2022-07-17T18:46:25.617,-115.473197,36.072536,6584.8
2022-07-17T18:46:26.539,-115.473239,36.07187,6604.8
2022-07-17T18:46:27.438,-115.473325,36.071291,6614.8
2022-07-17T18:46:28.930,-115.473518,36.070411,6619.8
2022-07-17T18:46:29.969,-115.473797,36.069703,6619.8
2022-07-17T18:46:30.961,-115.474012,36.069102,6614.8
2022-07-17T18:46:31.813,-115.474248,36.06863,6604.8
2022-07-17T18:46:32.742,-115.474613,36.068029,6599.8
2022-07-17T18:46:33.695,-115.474892,36.067472,6599.8
2022-07-17T18:46:34.797,-115.475256,36.066849,6599.8
2022-07-17T18:46:35.773,-115.475664,36.066291,6604.8
2022-07-17T18:46:36.883,-115.476158,36.065733,6614.8
2022-07-17T18:46:37.781,-115.476587,36.065326,6629.8
2022-07-17T18:46:38.813,-115.477059,36.064854,6624.8
2022-07-17T18:46:40.148,-115.477767,36.06421,6644.8
2022-07-17T18:46:41.164,-115.478282,36.063781,6674.8
2022-07-17T18:46:42.242,-115.478754,36.063266,6684.8
2022-07-17T18:46:43.367,-115.479162,36.062708,6689.8
2022-07-17T18:46:44.352,-115.479505,36.062257,6719.8
2022-07-17T18:46:45.352,-115.479805,36.061699,6724.8
2022-07-17T18:46:47.805,-115.480342,36.06039,6754.8
2022-07-17T18:46:48.836,-115.480449,36.05979,6799.8
2022-07-17T18:46:49.719,-115.480492,36.059318,6849.8
2022-07-17T18:46:50.852,-115.480492,36.058588,6889.8
2022-07-17T18:46:51.867,-115.480449,36.058052,6934.8
2022-07-17T18:46:52.883,-115.48032,36.057451,6949.8
2022-07-17T18:46:53.828,-115.480213,36.056893,6964.8
2022-07-17T18:46:54.688,-115.480042,36.056442,6979.8
2022-07-17T18:46:56.180,-115.479741,36.055584,6994.8
2022-07-17T18:46:57.172,-115.479634,36.054983,7009.8
2022-07-17T18:46:58.242,-115.479505,36.054382,7024.8
2022-07-17T18:46:59.063,-115.479462,36.053932,7039.8
2022-07-17T18:47:00.133,-115.479527,36.053331,7059.8
2022-07-17T18:47:01.102,-115.479591,36.05288,7085
2022-07-17T18:47:01.945,-115.479741,36.05243,7110
2022-07-17T18:47:02.977,-115.479934,36.051958,7135.2
2022-07-17T18:47:04.086,-115.480278,36.051443,7160.4
2022-07-17T18:47:05.508,-115.480728,36.050863,7180.4
2022-07-17T18:47:06.477,-115.481136,36.050498,7200.4
2022-07-17T18:47:07.602,-115.481672,36.050091,7215.6
2022-07-17T18:47:08.594,-115.482144,36.049812,7225.6
2022-07-17T18:47:09.992,-115.482895,36.04949,7240.4
2022-07-17T18:47:25.289,-115.491886,36.048803,7315.4
2022-07-17T18:47:26.313,-115.492401,36.04876,7390.2
2022-07-17T18:47:27.250,-115.49298,36.048696,7465
2022-07-17T18:47:28.336,-115.493603,36.048653,7549.8
2022-07-17T18:47:29.828,-115.494418,36.04861,7629.8
2022-07-17T18:47:31.445,-115.495298,36.048524,7654.8
2022-07-17T18:47:32.438,-115.495813,36.04846,7679.8
2022-07-17T18:47:33.438,-115.496414,36.048417,7704.8
2022-07-17T18:47:34.523,-115.496972,36.048396,7724.8
2022-07-17T18:47:36.031,-115.497873,36.048288,7749.8
2022-07-17T18:47:36.938,-115.498345,36.048203,7744.8
2022-07-17T18:47:38.883,-115.499439,36.048117,7759.8
2022-07-17T18:47:39.805,-115.499976,36.048052,7779.8
2022-07-17T18:47:40.859,-115.500576,36.047966,7794.8
2022-07-17T18:47:41.898,-115.501156,36.047881,7809.8
2022-07-17T18:47:42.750,-115.501671,36.047816,7844.8
2022-07-17T18:47:43.789,-115.50225,36.04773,7859.8
2022-07-17T18:47:44.859,-115.502872,36.047645,7869.8
2022-07-17T18:47:45.742,-115.503387,36.047559,7884.8
2022-07-17T18:47:46.789,-115.503945,36.047494,7894.8
2022-07-17T18:47:48.219,-115.504825,36.047301,7909.8
2022-07-17T18:47:49.211,-115.50534,36.047215,7924.8
2022-07-17T18:47:50.227,-115.505984,36.04713,7939.8
2022-07-17T18:47:51.164,-115.50652,36.047022,7954.8
2022-07-17T18:47:52.195,-115.5071,36.046937,7969.8
2022-07-17T18:47:53.078,-115.507615,36.046829,7964.8
2022-07-17T18:47:54.219,-115.508258,36.046743,7979.8
2022-07-17T18:47:55.305,-115.508945,36.0467,7994.8
2022-07-17T18:47:56.828,-115.509911,36.046615,8009.8
2022-07-17T18:47:57.797,-115.510426,36.046572,8029.8
2022-07-17T18:47:58.813,-115.511005,36.046507,8069.8
2022-07-17T18:48:00.352,-115.511949,36.046464,8069.8
2022-07-17T18:48:01.438,-115.512657,36.046422,8094.8
2022-07-17T18:48:02.500,-115.513237,36.046379,8114.8
2022-07-17T18:48:03.430,-115.513816,36.046336,8134.8
2022-07-17T18:48:04.344,-115.514352,36.046336,8154.8
2022-07-17T18:48:05.180,-115.514803,36.046379,8194.8
2022-07-17T18:48:06.125,-115.515404,36.046379,8214.8
2022-07-17T18:48:07.094,-115.515919,36.046464,8239.8
2022-07-17T18:48:08.188,-115.516498,36.046572,8249.8
2022-07-17T18:48:10.266,-115.5177,36.046829,8279.8
2022-07-17T18:48:11.281,-115.518215,36.046958,8314.8
2022-07-17T18:48:12.305,-115.51873,36.047151,8349.8
2022-07-17T18:48:13.297,-115.519288,36.047387,8379.8
2022-07-17T18:48:14.250,-115.519803,36.047559,8424.8
2022-07-17T18:48:15.383,-115.52036,36.047816,8444.8
2022-07-17T18:48:16.281,-115.520833,36.048074,8459.8
2022-07-17T18:48:17.289,-115.521348,36.048288,8469.8
2022-07-17T18:48:18.430,-115.521991,36.04861,8479.8
2022-07-17T18:48:19.320,-115.522377,36.048846,8484.8
2022-07-17T18:48:20.375,-115.523,36.049125,8494.8
2022-07-17T18:48:21.313,-115.523472,36.04934,8499.8
2022-07-17T18:48:22.438,-115.524158,36.04964,8504.8
2022-07-17T18:48:23.430,-115.524695,36.049919,8509.8
2022-07-17T18:48:24.453,-115.525253,36.050177,8519.8
2022-07-17T18:48:25.531,-115.525875,36.050498,8509.8
2022-07-17T18:48:26.719,-115.526454,36.05082,8519.8
2022-07-17T18:48:27.719,-115.527077,36.051142,8529.8
2022-07-17T18:48:28.805,-115.527549,36.051443,8544.8
2022-07-17T18:48:29.727,-115.528042,36.051764,8559.8
2022-07-17T18:48:30.586,-115.528429,36.052108,8594.8
2022-07-17T18:48:32.172,-115.529137,36.052709,8614.8
2022-07-17T18:48:33.250,-115.529544,36.053202,8639.8
2022-07-17T18:48:34.148,-115.529823,36.053588,8669.8
2022-07-17T18:48:35.188,-115.530124,36.05406,8699.8
2022-07-17T18:48:36.258,-115.530403,36.054575,8729.8
2022-07-17T18:48:37.219,-115.530639,36.054983,8759.8
2022-07-17T18:48:38.266,-115.530853,36.055477,8789.8
2022-07-17T18:48:39.273,-115.531089,36.055992,8819.8
2022-07-17T18:48:40.164,-115.531282,36.056378,8849.8
2022-07-17T18:48:41.156,-115.531476,36.05685,8874.8
2022-07-17T18:48:42.031,-115.531647,36.057322,8894.8
2022-07-17T18:48:43.055,-115.531883,36.057773,8914.8
2022-07-17T18:48:43.992,-115.532119,36.058202,8924.8
2022-07-17T18:48:45.039,-115.532334,36.058717,8934.8
2022-07-17T18:48:46.055,-115.53257,36.059189,8944.8
2022-07-17T18:48:46.992,-115.532806,36.059639,8954.8
2022-07-17T18:48:48.063,-115.533149,36.060154,8959.8
2022-07-17T18:48:49.242,-115.533578,36.060669,8959.8
2022-07-17T18:48:50.281,-115.534008,36.06112,8954.8
2022-07-17T18:48:51.727,-115.534694,36.061807,8954.8
2022-07-17T18:48:52.750,-115.535145,36.062257,8959.8
2022-07-17T18:48:53.859,-115.535724,36.062708,8944.8
2022-07-17T18:48:54.922,-115.536282,36.063223,8909.8
2022-07-17T18:48:55.891,-115.536797,36.063631,8869.8
2022-07-17T18:48:56.945,-115.537484,36.064167,8814.8
2022-07-17T18:48:58.477,-115.538406,36.064875,8744.8
2022-07-17T18:48:59.336,-115.538986,36.065326,8689.8
2022-07-17T18:49:00.297,-115.539501,36.065733,8664.8
2022-07-17T18:49:01.227,-115.540123,36.066163,8654.8
2022-07-17T18:49:02.219,-115.540574,36.06657,8639.8
2022-07-17T18:49:03.227,-115.541003,36.066957,8664.8
2022-07-17T18:49:04.180,-115.541282,36.067193,8704.8
2022-07-17T18:49:06.258,-115.541604,36.067557,8809.8
2022-07-17T18:49:07.828,-115.541689,36.06775,8939.8
2022-07-17T18:49:08.727,-115.541732,36.067836,9119.8
2022-07-17T18:49:09.906,-115.541775,36.067922,9289.8
2022-07-17T18:49:10.930,-115.54184,36.067922,9449.8
2022-07-17T18:49:11.953,-115.541861,36.067922,9544.8
2022-07-17T18:49:14.508,-115.541904,36.067986,9599.8
2022-07-17T18:49:15.539,-115.541925,36.067965,9554.8
2022-07-17T18:49:16.586,-115.541818,36.067879,9514.8
2022-07-17T18:49:17.500,-115.541604,36.067665,9364.8
2022-07-17T18:49:18.578,-115.541217,36.067235,9174.8
2022-07-17T18:49:19.672,-115.540917,36.066549,8979.8
2022-07-17T18:49:20.664,-115.540638,36.065927,8834.8
2022-07-17T18:49:21.688,-115.540402,36.06524,8639.8
2022-07-17T18:49:22.633,-115.540166,36.064532,8574.8
2022-07-17T18:49:23.969,-115.53993,36.063652,8524.8
2022-07-17T18:49:24.938,-115.539715,36.062944,8484.8
2022-07-17T18:49:25.914,-115.539544,36.062343,8459.8
2022-07-17T18:49:26.961,-115.539351,36.061549,8454.8
2022-07-17T18:49:27.977,-115.539114,36.060863,8429.8
2022-07-17T18:49:28.945,-115.538943,36.060154,8424.8
2022-07-17T18:49:29.938,-115.538707,36.059446,8419.8
2022-07-17T18:49:30.930,-115.538514,36.058781,8414.8
2022-07-17T18:49:31.977,-115.538299,36.058116,8419.8
2022-07-17T18:49:33.000,-115.538192,36.057558,8444.8
2022-07-17T18:49:34.477,-115.538063,36.056936,8494.8
2022-07-17T18:49:35.391,-115.537956,36.0567,8579.8
2022-07-17T18:49:36.266,-115.537956,36.056528,8674.8
2022-07-17T18:49:37.375,-115.537827,36.056378,8819.8
2022-07-17T18:49:38.945,-115.537784,36.056292,8969.8
2022-07-17T18:49:39.922,-115.53772,36.056249,9139.8
2022-07-17T18:49:40.961,-115.537655,36.056249,9289.8
2022-07-17T18:49:42.086,-115.537548,36.056206,9434.8
2022-07-17T18:49:43.516,-115.537269,36.056206,9534.8
2022-07-17T18:49:44.438,-115.53714,36.056249,9609.8
2022-07-17T18:49:45.414,-115.536969,36.056292,9624.8
2022-07-17T18:49:46.453,-115.536926,36.056356,9589.8
2022-07-17T18:49:47.508,-115.536861,36.056356,9514.8
2022-07-17T18:49:48.406,-115.536904,36.056335,9409.8
2022-07-17T18:49:49.344,-115.537248,36.056206,9254.8
2022-07-17T18:49:50.328,-115.53772,36.056077,9069.8
2022-07-17T18:49:51.469,-115.538471,36.055799,8889.8
2022-07-17T18:49:52.500,-115.539265,36.055627,8729.8
2022-07-17T18:49:53.539,-115.54023,36.055369,8579.8
2022-07-17T18:49:54.539,-115.541046,36.055133,8474.8
2022-07-17T18:49:55.555,-115.541861,36.05494,8414.8
2022-07-17T18:49:56.594,-115.542676,36.054704,8389.8
2022-07-17T18:49:57.563,-115.543513,36.054533,8384.8
2022-07-17T18:49:59.156,-115.544736,36.054189,8404.8
2022-07-17T18:50:00.203,-115.545423,36.054018,8424.8
2022-07-17T18:50:01.688,-115.546474,36.053696,8464.8
2022-07-17T18:50:02.727,-115.547161,36.05346,8539.8
2022-07-17T18:50:04.258,-115.548019,36.053095,8629.8
2022-07-17T18:50:05.195,-115.54847,36.052794,8694.8
2022-07-17T18:50:06.242,-115.548942,36.052408,8794.8
2022-07-17T18:50:07.289,-115.549285,36.052043,8884.8
2022-07-17T18:50:08.914,-115.5498,36.051314,8944.8
2022-07-17T18:50:09.914,-115.550015,36.050863,8984.8
2022-07-17T18:50:11.453,-115.550358,36.050069,9024.8
2022-07-17T18:50:12.383,-115.550573,36.04964,9024.8
2022-07-17T18:50:13.273,-115.550766,36.049168,9004.8
2022-07-17T18:50:14.336,-115.550981,36.048524,8959.8
