Time,Longitude,Latitude,interp_fit
2022-07-17T18:57:21.597,-115.385833333333,36.1027777777778,5284.13818316579
2022-07-17T18:57:22.608,-115.385555555556,36.1030555555556,5270.28128499666
2022-07-17T18:57:23.550,-115.385,36.1036111111111,5257.3701130479
2022-07-17T18:57:25.162,-115.384444444444,36.1038888888889,5234.83685326499
2022-07-17T18:57:25.734,-115.383888888889,36.1044444444444,5226.85179841271
2022-07-17T18:57:26.934,-115.383611111111,36.1047222222222,5210.1731319824
2022-07-17T18:57:27.595,-115.383055555556,36.1052777777778,5200.96886372164
2022-07-17T18:57:28.957,-115.3825,36.1055555555556,5181.78863787889
2022-07-17T18:57:29.417,-115.382222222222,36.1061111111111,5175.22192864655
2022-07-17T18:57:30.829,-115.381666666667,36.1066666666667,5155.0649889099
2022-07-17T18:57:31.490,-115.381388888889,36.1069444444444,5145.5148628585
2022-07-17T18:57:32.901,-115.380833333333,36.1072222222222,5125.12873923696
2022-07-17T18:57:33.753,-115.380555555556,36.1077777777778,5112.65701030372
2022-07-17T18:57:35.225,-115.380277777778,36.1080555555556,5091.10961173591
2022-07-17T18:57:35.625,-115.379444444444,36.1088888888889,5085.16814206704
2022-07-17T18:57:36.486,-115.379166666667,36.1091666666667,5072.37913074735
2022-07-17T18:57:38.209,-115.378611111111,36.11,5046.78625551391
2022-07-17T18:57:38.410,-115.378333333333,36.1102777777778,5043.7603217692
2022-07-17T18:57:39.521,-115.377777777778,36.1108333333333,5027.03488759837
2022-07-17T18:57:41.174,-115.377222222222,36.1113888888889,5002.14996496603
2022-07-17T18:57:42.025,-115.376944444444,36.1116666666667,4989.19984734836
2022-07-17T18:57:42.929,-115.376666666667,36.1122222222222,4975.44320476775
2022-07-17T18:57:43.390,-115.376388888889,36.1125,4968.43979172173
2022-07-17T18:57:44.702,-115.375833333333,36.1133333333333,4948.46252714526
2022-07-17T18:57:45.414,-115.375555555556,36.1136111111111,4937.54986122929
2022-07-17T18:57:46.707,-115.375,36.1144444444444,4917.73234123788
2022-07-17T18:57:48.020,-115.374722222222,36.1147222222222,4897.55503017424
2022-07-17T18:57:48.931,-115.374444444444,36.1152777777778,4883.51958067754
2022-07-17T18:57:50.043,-115.373888888889,36.1158333333333,4866.36196359724
2022-07-17T18:57:51.214,-115.373611111111,36.1166666666667,4848.2800776
2022-07-17T18:57:51.515,-115.373333333333,36.1166666666667,4843.63206249194
2022-07-17T18:57:52.475,-115.373055555556,36.1172222222222,4828.80783717692
2022-07-17T18:57:54.189,-115.372222222222,36.1180555555556,4802.34041291369
2022-07-17T18:57:54.940,-115.371944444444,36.1183333333333,4790.7636195944
2022-07-17T18:57:55.502,-115.371944444444,36.1186111111111,4782.10029492411
2022-07-17T18:57:56.618,-115.371388888889,36.1191666666667,4764.89696901073
2022-07-17T18:57:57.779,-115.370833333333,36.12,4747.12818114017
2022-07-17T18:57:58.830,-115.370555555556,36.1202777777778,4731.00365228956
2022-07-17T18:57:59.893,-115.37,36.1208333333333,4714.69104634638
2022-07-17T18:58:01.105,-115.369722222222,36.1213888888889,4696.22466060848
2022-07-17T18:58:01.465,-115.369444444444,36.1216666666667,4690.78470023919
2022-07-17T18:58:02.728,-115.369166666667,36.1222222222222,4671.69950020923
2022-07-17T18:58:03.682,-115.368611111111,36.1225,4657.28360108745
2022-07-17T18:58:04.696,-115.368055555556,36.1230555555556,4642.25452528791
2022-07-17T18:58:05.858,-115.367777777778,36.1233333333333,4624.97235700256
2022-07-17T18:58:07.120,-115.367222222222,36.1241666666667,4606.25566982492
2022-07-17T18:58:07.530,-115.367222222222,36.1244444444444,4600.25019447485
2022-07-17T18:58:09.083,-115.366388888889,36.125,4577.7983552744
2022-07-17T18:58:09.694,-115.366111111111,36.1252777777778,4568.96508073628
2022-07-17T18:58:11.107,-115.365555555556,36.1261111111111,4549.1172133976
2022-07-17T18:58:11.919,-115.365277777778,36.1263888888889,4537.66078809783
2022-07-17T18:58:12.930,-115.365,36.1266666666667,4523.51023638789
2022-07-17T18:58:14.201,-115.364444444444,36.1275,4506.23685866339
2022-07-17T18:58:15.052,-115.364166666667,36.1277777777778,4494.67144031453
2022-07-17T18:58:15.663,-115.363888888889,36.1283333333333,4486.61977480328
2022-07-17T18:58:16.574,-115.363611111111,36.1286111111111,4474.5693641699
2022-07-17T18:58:17.576,-115.363055555556,36.1291666666667,4461.4105546319
2022-07-17T18:58:18.639,-115.362777777778,36.1297222222222,4447.81109837894
2022-07-17T18:58:19.450,-115.3625,36.13,4437.4355942626
2022-07-17T18:58:21.152,-115.361666666667,36.1308333333333,4416.3001736109
2022-07-17T18:58:22.013,-115.361388888889,36.1313888888889,4405.60828200622
2022-07-17T18:58:22.513,-115.361111111111,36.1316666666667,4399.45307686366
2022-07-17T18:58:23.975,-115.360555555556,36.1322222222222,4381.82318654908
2022-07-17T18:58:25.037,-115.36,36.1327777777778,4369.34892558996
2022-07-17T18:58:26.148,-115.359444444444,36.1330555555556,4356.58559256152
2022-07-17T18:58:26.839,-115.359444444444,36.1333333333333,4348.77221751047
2022-07-17T18:58:27.550,-115.358888888889,36.1338888888889,4340.73269578006
2022-07-17T18:58:28.701,-115.358611111111,36.1341666666667,4327.71794171178
2022-07-17T18:58:29.562,-115.358055555556,36.1347222222222,4318.30841037732
2022-07-17T18:58:30.874,-115.3575,36.1352777777778,4303.97007753566
2022-07-17T18:58:31.836,-115.357222222222,36.1358333333333,4293.94685842627
2022-07-17T18:58:32.546,-115.356944444444,36.1361111111111,4286.52315597629
2022-07-17T18:58:34.108,-115.356111111111,36.1366666666667,4270.10682119335
2022-07-17T18:58:35.069,-115.355555555556,36.1372222222222,4260.26175304155
2022-07-17T18:58:35.970,-115.355277777778,36.1375,4251.33078431594
2022-07-17T18:58:36.932,-115.354722222222,36.1380555555556,4241.79516751033
2022-07-17T18:58:37.843,-115.354444444444,36.1383333333333,4232.76507603243
2022-07-17T18:58:38.404,-115.354166666667,36.1386111111111,4227.37281396152
2022-07-17T18:58:39.968,-115.353611111111,36.1394444444444,4212.33984487365
2022-07-17T18:58:40.969,-115.353055555556,36.1397222222222,4202.98244864016
2022-07-17T18:58:41.530,-115.352777777778,36.14,4197.73819569001
2022-07-17T18:58:42.893,-115.352222222222,36.1408333333333,4184.99680891015
2022-07-17T18:58:44.105,-115.351944444444,36.1411111111111,4173.93146010662
2022-07-17T18:58:44.858,-115.351666666667,36.1413888888889,4167.05670187522
2022-07-17T18:58:45.669,-115.351111111111,36.1419444444444,4159.78171520242
2022-07-17T18:58:47.083,-115.350555555556,36.1425,4147.09758073849
2022-07-17T18:58:47.694,-115.350277777778,36.1427777777778,4141.71562499746
2022-07-17T18:58:48.705,-115.35,36.1430555555556,4132.78572814199
2022-07-17T18:58:49.666,-115.349444444444,36.1436111111111,4124.34538762442
2022-07-17T18:58:50.518,-115.349166666667,36.1441666666667,4116.96874498402
2022-07-17T18:58:51.880,-115.348888888889,36.1444444444444,4105.17650440534
2022-07-17T18:58:52.942,-115.348333333333,36.145,4096.14980084896
2022-07-17T18:58:53.553,-115.348333333333,36.1452777777778,4090.95646989427
2022-07-17T18:58:54.864,-115.347777777778,36.1458333333333,4079.81333279756
2022-07-17T18:58:55.825,-115.3475,36.1461111111111,4071.79906099751
2022-07-17T18:58:57.137,-115.346944444444,36.1466666666667,4060.85761951182
2022-07-17T18:58:58.148,-115.346666666667,36.1472222222222,4052.58483115133
2022-07-17T18:58:58.859,-115.346388888889,36.1475,4046.76687594119
2022-07-17T18:59:00.060,-115.346111111111,36.1477777777778,4036.93935920347
2022-07-17T18:59:01.121,-115.345277777778,36.1486111111111,4028.40610907245
2022-07-17T18:59:01.582,-115.345277777778,36.1486111111111,4024.71083797154
2022-07-17T18:59:02.693,-115.344722222222,36.1491666666667,4015.7844994886
2022-07-17T18:59:03.954,-115.344166666667,36.1494444444444,4005.77210985524
2022-07-17T18:59:04.865,-115.343888888889,36.1497222222222,3998.53873342151
2022-07-17T18:59:06.127,-115.343333333333,36.15,3988.58059433217
2022-07-17T18:59:06.638,-115.343055555556,36.1502777777778,3984.5484168999
2022-07-17T18:59:08.099,-115.342777777778,36.1502777777778,3973.02001761294
2022-07-17T18:59:08.410,-115.342222222222,36.1508333333333,3970.57045882511
2022-07-17T18:59:09.873,-115.341388888889,36.1508333333333,3959.04729864946
2022-07-17T18:59:10.825,-115.340833333333,36.1511111111111,3951.54897229402
2022-07-17T18:59:11.687,-115.340277777778,36.1513888888889,3944.74247396445
2022-07-17T18:59:12.648,-115.339722222222,36.1516666666667,3937.15425499941
2022-07-17T18:59:13.961,-115.338888888889,36.1519444444444,3926.79938329201
2022-07-17T18:59:14.922,-115.338333333333,36.1519444444444,3919.19836529341
2022-07-17T18:59:16.034,-115.337777777778,36.1519444444444,3910.3624177636
2022-07-17T18:59:16.945,-115.337222222222,36.1522222222222,3903.12361524519
2022-07-17T18:59:17.697,-115.336666666667,36.1522222222222,3897.12401877141
2022-07-17T18:59:18.859,-115.336111111111,36.1525,3887.85336733345
2022-07-17T18:59:19.820,-115.335555555556,36.1525,3880.15684936745
2022-07-17T18:59:20.982,-115.335,36.1527777777778,3870.85242471769
2022-07-17T18:59:21.942,-115.334444444444,36.1527777777778,3863.16204026667
2022-07-17T18:59:22.453,-115.334444444444,36.1527777777778,3859.06245763032
2022-07-17T18:59:23.815,-115.333888888889,36.1527777777778,3848.13558914736
2022-07-17T18:59:31.637,-115.329166666667,36.1544444444444,3786.24349237934
2022-07-17T18:59:32.598,-115.328611111111,36.1544444444444,3778.76888823771
2022-07-17T18:59:33.859,-115.328333333333,36.1544444444444,3769.15012559968
2022-07-17T18:59:34.811,-115.3275,36.1547222222222,3762.14280237201
