time,Longitude,Latitude,ortho_spline
2022-07-17T18:46:27.664,-114.928279,36.484845,9589
2022-07-17T18:46:28.820,-114.92991,36.483922,9588.99999999999
2022-07-17T18:46:29.906,-114.931262,36.483128,9589
2022-07-17T18:46:30.844,-114.932592,36.482334,9588.99999999999
2022-07-17T18:46:31.805,-114.933751,36.481562,9588.99999999999
2022-07-17T18:46:32.633,-114.934866,36.480746,9589
2022-07-17T18:46:33.688,-114.936154,36.479824,9589.00000000002
2022-07-17T18:46:34.766,-114.937484,36.478815,9589
2022-07-17T18:46:35.883,-114.938729,36.477785,9589.00000000001
2022-07-17T18:46:37.016,-114.940059,36.476712,9589
2022-07-17T18:46:37.938,-114.941196,36.475704,9589
2022-07-17T18:46:38.922,-114.942334,36.474738,9589
2022-07-17T18:46:39.852,-114.943342,36.473858,9588.99999999999
2022-07-17T18:46:40.922,-114.94463,36.472785,9589
2022-07-17T18:46:41.797,-114.945552,36.471992,9589
2022-07-17T18:46:42.727,-114.94669,36.471047,9589
2022-07-17T18:46:43.797,-114.947891,36.470082,9588.99999999999
2022-07-17T18:46:44.664,-114.948964,36.469202,9589
2022-07-17T18:46:45.594,-114.950016,36.468387,9589
2022-07-17T18:46:46.500,-114.95111,36.467528,9589
2022-07-17T18:46:47.656,-114.95259,36.466413,9589.00000000001
2022-07-17T18:46:48.664,-114.953814,36.465533,9589
2022-07-17T18:46:49.820,-114.955337,36.464417,9589
2022-07-17T18:46:50.906,-114.956603,36.463537,9589
2022-07-17T18:46:51.844,-114.957891,36.462636,9589
2022-07-17T18:46:52.727,-114.959049,36.461885,9588.99999999999
2022-07-17T18:46:53.656,-114.960186,36.46107,9589
2022-07-17T18:46:54.563,-114.961345,36.460276,9589
2022-07-17T18:46:56.195,-114.963341,36.458859,9589
2022-07-17T18:46:57.313,-114.9648,36.457894,9589.00000000001
2022-07-17T18:46:58.445,-114.966323,36.456821,9589
2022-07-17T18:46:59.367,-114.967461,36.456027,9589
2022-07-17T18:47:00.352,-114.968727,36.455104,9589.0606459424
2022-07-17T18:47:01.281,-114.969821,36.45431,9589.26137516271
2022-07-17T18:47:02.352,-114.971237,36.453323,9589.17652848492
2022-07-17T18:47:03.258,-114.972332,36.452551,9588.18229968984
2022-07-17T18:47:04.305,-114.973619,36.451607,9585.76255594545
2022-07-17T18:47:05.234,-114.974842,36.450727,9582.84335676062
2022-07-17T18:47:06.172,-114.975979,36.449933,9579.49637418709
2022-07-17T18:47:07.008,-114.977009,36.449203,9576.27472836074
2022-07-17T18:47:08.055,-114.978404,36.448259,9571.93465288441
2022-07-17T18:47:09.133,-114.979756,36.447272,9566.38114864007
2022-07-17T18:47:10.258,-114.981151,36.446307,9559.28260391456
2022-07-17T18:47:25.305,-114.999797,36.432939,9391.22076495006
2022-07-17T18:47:26.234,-115.00102,36.432059,9379.64128401656
2022-07-17T18:47:27.172,-115.002072,36.431222,9367.8483513413
2022-07-17T18:47:28.508,-115.003595,36.430063,9350.50199515753
2022-07-17T18:47:29.656,-115.005054,36.428947,9335.21383978535
2022-07-17T18:47:30.664,-115.006235,36.428068,9321.59139941522
2022-07-17T18:47:31.828,-115.007694,36.426995,9305.5723949007
2022-07-17T18:47:32.906,-115.008852,36.426051,9290.37782095245
2022-07-17T18:47:33.844,-115.010076,36.425171,9276.84167209535
2022-07-17T18:47:34.805,-115.011127,36.424356,9262.74475737739
2022-07-17T18:47:35.633,-115.012243,36.42354,9250.4601846626
2022-07-17T18:47:36.688,-115.013423,36.422617,9234.68451229474
2022-07-17T18:47:37.773,-115.014732,36.421652,9220.00155043395
2022-07-17T18:47:38.891,-115.016041,36.420665,9201.58063228572
2022-07-17T18:47:40.023,-115.0175,36.419592,9179.46054437067
2022-07-17T18:47:40.945,-115.018551,36.418755,9170.79112571063
2022-07-17T18:47:41.938,-115.019753,36.417854,9157.52398183486
2022-07-17T18:47:42.867,-115.020826,36.417017,9142.25732527611
2022-07-17T18:47:43.938,-115.022156,36.416008,9126.49329100376
2022-07-17T18:47:44.805,-115.023079,36.415322,9113.80715555669
2022-07-17T18:47:45.953,-115.024517,36.414227,9097.12742306235
2022-07-17T18:47:46.961,-115.025654,36.413262,9082.60985807677
2022-07-17T18:47:48.125,-115.027092,36.412168,9066.00167444558
2022-07-17T18:47:49.203,-115.028229,36.411245,9050.75111062152
2022-07-17T18:47:50.141,-115.029366,36.410344,9037.55893950316
2022-07-17T18:47:51.055,-115.030417,36.409485,9024.7505896004
2022-07-17T18:47:52.102,-115.031598,36.408541,9010.08051930566
2022-07-17T18:47:53.031,-115.032756,36.407619,8997.00666531306
2022-07-17T18:47:53.977,-115.033786,36.406825,8983.60802699088
2022-07-17T18:47:54.805,-115.034688,36.406031,8971.80603389376
2022-07-17T18:47:55.773,-115.035889,36.405129,8957.92763253265
2022-07-17T18:47:56.844,-115.037134,36.404078,8942.48449301062
2022-07-17T18:47:57.711,-115.038078,36.403348,8929.88786434607
2022-07-17T18:47:58.648,-115.039237,36.402404,8916.11878997786
2022-07-17T18:47:59.555,-115.040245,36.401589,8902.55071159286
2022-07-17T18:48:00.703,-115.041533,36.400602,8884.88958817678
2022-07-17T18:48:01.711,-115.042691,36.399658,8868.81126042213
2022-07-17T18:48:02.875,-115.044086,36.398542,8849.47430073062
2022-07-17T18:48:03.953,-115.045331,36.397512,8830.04518563062
2022-07-17T18:48:04.898,-115.046382,36.396675,8813.63760661108
2022-07-17T18:48:05.805,-115.047455,36.395838,8796.63549679763
2022-07-17T18:48:06.953,-115.048828,36.394722,8765.09200732537
2022-07-17T18:48:07.961,-115.049965,36.393821,8753.90279047341
2022-07-17T18:48:09.133,-115.051403,36.392663,8729.25986471045
2022-07-17T18:48:10.211,-115.05254,36.391761,8705.68412144989
2022-07-17T18:48:11.156,-115.053742,36.390839,8684.30088436016
2022-07-17T18:48:12.078,-115.054793,36.38998,8662.79723065002
