totsec,true_course_deg,hdg_deg_T,pitch_deg,bank_deg
19:01:00.402,190.121212528573,190.121212528573,-12.250358,13.791497
19:01:00.502,190.58092061989,190.58092061989,-12.280662,14.254050
19:01:00.602,190.984090251962,190.984090251962,-12.310966,14.604414
19:01:00.702,191.325505111067,191.325505111067,-12.341271,14.603862
19:01:00.802,191.608062602245,191.608062602245,-12.371575,14.603309
19:01:00.902,191.839132817128,191.839132817128,-12.401879,14.602757
19:01:01.002,192.026132584914,192.026132584914,-12.432184,14.602205
19:01:01.102,192.176478734923,192.176478734923,-12.462488,14.601653
19:01:01.202,192.297588096391,192.297588096391,-12.492792,14.601100
19:01:01.302,192.396877498571,192.396877498571,-12.523097,14.600548
19:01:01.402,192.481763770759,192.481763770759,-12.553401,14.599996
19:01:01.502,192.559663742192,192.559663742192,-12.584324,14.599444
19:01:01.602,192.63799424216,192.63799424216,-12.624036,14.551191
19:01:01.702,192.724167793638,192.724167793638,-12.663748,14.353999
19:01:01.802,192.823317911468,192.823317911468,-12.703460,14.156808
19:01:01.902,192.934560146934,192.934560146934,-12.743172,13.959616
19:01:02.002,193.056028239188,193.056028239188,-12.782884,13.762425
19:01:02.102,193.185855927451,193.185855927451,-12.822597,13.565233
19:01:02.202,193.322176950891,193.322176950891,-12.862309,13.368041
19:01:02.302,193.46312504867,193.46312504867,-12.902021,13.161962
19:01:02.402,193.606833960016,193.606833960016,-12.941733,12.680607
19:01:02.502,193.751437424072,193.751437424072,-12.981445,12.199252
19:01:02.602,193.895069180064,193.895069180064,-12.992291,11.717897
19:01:02.702,194.035862967157,194.035862967157,-12.972035,11.204733
19:01:02.802,194.171992431759,194.171992431759,-12.951778,10.675619
19:01:02.902,194.302345407582,194.302345407582,-12.931522,10.146504
19:01:03.002,194.426426296054,194.426426296054,-12.911265,9.621796
19:01:03.102,194.543759749725,194.543759749725,-12.891009,9.102242
19:01:03.202,194.653870421092,194.653870421092,-12.870752,8.582687
19:01:03.302,194.756282962655,194.756282962655,-12.850495,7.885386
19:01:03.402,194.850522026959,194.850522026959,-12.830239,6.938771
19:01:03.502,194.936112266491,194.936112266491,-12.809982,5.998919
19:01:03.602,195.012578333792,195.012578333792,-12.789726,5.595905
19:01:03.702,195.079444881362,195.079444881362,-12.740536,5.192892
19:01:03.802,195.136236561709,195.136236561709,-12.688024,4.789878
19:01:03.902,195.182700000792,195.182700000792,-12.635511,4.386864
19:01:04.002,195.219547809849,195.219547809849,-12.582999,3.987479
19:01:04.102,195.247755306399,195.247755306399,-12.530487,3.665723
19:01:04.202,195.268297813297,195.268297813297,-12.477974,3.343967
19:01:04.302,195.282150653405,195.282150653405,-12.425462,3.022212
19:01:04.402,195.290289149589,195.290289149589,-12.372949,2.700456
19:01:04.502,195.29368862471,195.29368862471,-12.320437,2.378700
19:01:04.602,195.293324401631,195.293324401631,-12.267924,2.038222
19:01:04.702,195.290171803215,195.290171803215,-12.229400,1.673514
19:01:04.802,195.285206152324,195.285206152324,-12.221637,1.308805
19:01:04.902,195.279390550218,195.279390550218,-12.213874,0.944097
19:01:05.002,195.2731760411,195.2731760411,-12.206111,0.579388
19:01:05.102,195.266326291387,195.266326291387,-12.198348,0.226416
19:01:05.202,195.258556725994,195.258556725994,-12.190585,-0.058762
19:01:05.302,195.249582769836,195.249582769836,-12.182822,-0.343939
19:01:05.402,195.239119847826,195.239119847826,-12.175059,-0.629117
19:01:05.502,195.226883384881,195.226883384881,-12.167296,-0.914295
19:01:05.602,195.212588805912,195.212588805912,-12.159533,-1.199473
19:01:05.702,195.195951535836,195.195951535836,-12.151770,-1.488803
19:01:05.802,195.176686999569,195.176686999569,-12.178910,-1.784949
19:01:05.902,195.15451062202,195.15451062202,-12.219077,-2.081095
19:01:06.002,195.129181497253,195.129181497253,-12.259243,-2.377241
19:01:06.102,195.100778204152,195.100778204152,-12.299410,-2.673388
19:01:06.202,195.069521250882,195.069521250882,-12.339576,-2.969534
19:01:06.302,195.035631788425,195.035631788425,-12.379742,-3.269691
19:01:06.402,194.999330967749,194.999330967749,-12.419909,-3.572419
19:01:06.502,194.960839939842,194.960839939842,-12.460075,-3.875146
19:01:06.602,194.920379855669,194.920379855669,-12.500242,-4.177873
19:01:06.702,194.878171866214,194.878171866214,-12.540408,-4.480600
19:01:06.802,194.834437122459,194.834437122459,-12.582045,-4.783328
19:01:06.902,194.789396775371,194.789396775371,-12.632434,-5.018945
19:01:07.002,194.743271151831,194.743271151831,-12.682822,-5.241823
19:01:07.102,194.696141412175,194.696141412175,-12.733210,-5.464700
19:01:07.202,194.647794085456,194.647794085456,-12.783599,-5.687578
19:01:07.302,194.597978183846,194.597978183846,-12.833987,-5.910455
19:01:07.402,194.546442719494,194.546442719494,-12.884376,-6.133333
19:01:07.502,194.492936704577,194.492936704577,-12.934764,-6.356210
19:01:07.602,194.437209151245,194.437209151245,-12.985152,-6.490055
19:01:07.702,194.379009071667,194.379009071667,-13.035541,-6.571421
19:01:07.802,194.318085478016,194.318085478016,-13.085929,-6.652786
19:01:07.902,194.254187382437,194.254187382437,-13.129201,-6.734152
19:01:08.002,194.187063797114,194.187063797114,-13.166868,-6.815517
