totsec,true_course_deg,hdg_deg_T,pitch_deg,bank_deg
18:46:38.594,318.690311,318.690311,6.813385,-3.839802
18:46:39.195,318.623750,318.623750,6.894597,-3.872792
18:46:40.398,318.516147,318.516147,7.029359,-2.892873
18:46:41.797,318.482893,318.482893,7.187393,-1.386317
18:46:42.797,318.583941,318.583941,7.337028,-0.051728
18:46:44.195,318.869407,318.869407,7.434026,1.000466
18:46:45.398,319.174940,319.174940,7.438963,0.989785
18:46:46.398,319.486556,319.486556,7.322800,0.645973
18:46:47.398,319.775651,319.775651,7.089067,-0.172305
18:46:48.398,320.088171,320.088171,6.764186,-1.040969
18:46:49.594,320.386227,320.386227,6.402129,-1.924504
18:46:50.195,320.697905,320.697905,6.048872,-2.207270
18:46:51.398,321.211643,321.211643,5.743468,-1.086796
18:46:52.195,322.306438,322.306438,5.499197,1.786015
18:46:53.398,324.391911,324.391911,5.319236,6.265781
18:46:54.398,327.628096,327.628096,5.218304,11.053753
18:46:55.594,331.914707,331.914707,5.224588,15.093942
18:46:56.195,337.064285,337.064285,5.352075,18.140894
18:46:58.594,342.727456,342.727456,5.575692,19.759848
18:46:59.398,348.578955,348.578955,5.828116,20.453297
18:47:00.594,354.318766,354.318766,6.032098,20.474123
18:47:01.797,359.822730,359.822730,6.127262,20.370077
18:47:02.797,5.198800,5.198800,6.095115,20.919777
18:47:03.797,10.721401,10.721401,5.930574,22.207713
18:47:04.398,16.611528,16.611528,5.668320,23.644567
18:47:05.195,22.865258,22.865258,5.336069,24.146436
18:47:07.797,29.216557,29.216557,4.948819,23.286449
18:47:08.594,35.334929,35.334929,4.554113,21.012099
18:47:09.398,40.977402,40.977402,4.124732,17.380681
18:47:10.594,45.945717,45.945717,3.557235,12.815804
18:47:24.797,50.174755,50.174755,2.783541,8.640836
18:47:25.195,53.819908,53.819908,1.920697,6.715424
18:47:26.398,57.297984,57.297984,1.235376,7.950866
18:47:27.797,61.041516,61.041516,0.942019,11.100552
18:47:28.195,65.283854,65.283854,1.063270,14.515062
18:47:29.797,70.026464,70.026464,1.454020,17.041031
18:47:31.594,75.098149,75.098149,1.959862,18.758343
18:47:32.797,80.347635,80.347635,2.461119,20.093289
18:47:33.797,85.600180,85.600180,2.832681,20.758611
18:47:34.398,90.749357,90.749357,3.007673,20.546657
18:47:36.195,95.657401,95.657401,2.913903,19.268405
18:47:37.195,100.214394,100.214394,2.499634,17.545681
18:47:38.398,104.392974,104.392974,1.747243,15.919028
18:47:39.195,108.256245,108.256245,0.705782,14.741627
18:47:40.594,111.871916,111.871916,-0.525465,13.981586
18:47:41.594,115.241666,115.241666,-1.823442,13.218376
18:47:42.594,118.419553,118.419553,-3.063083,12.623056
18:47:43.195,121.429290,121.429290,-4.136239,11.768488
18:47:44.797,124.220342,124.220342,-4.957475,10.519012
18:47:46.000,126.725528,126.725528,-5.479786,8.875642
18:47:47.195,128.838362,128.838362,-5.684826,6.679017
