simtime,hdg_deg_T,pitch_deg,bank_deg
18:45:01.398,180.868754,-1.682331,-0.433428
18:45:01.805,180.847546,-1.719041,-0.457372
18:45:02.398,180.819887,-1.767594,-0.455187
18:45:02.859,180.785815,-1.828799,-0.431685
18:45:03.594,180.746235,-1.901323,-0.408379
18:45:03.938,180.702081,-1.982853,-0.392146
18:45:04.398,180.653012,-2.072367,-0.393450
18:45:05.039,180.599752,-2.166069,-0.400509
18:45:05.594,180.541954,-2.262433,-0.401553
18:45:06.055,180.481028,-2.358832,-0.364904
18:45:07.039,180.420353,-2.452412,-0.288902
18:45:08.164,180.363921,-2.539582,-0.187805
18:45:08.797,180.313958,-2.617238,-0.095371
18:45:09.164,180.269601,-2.683638,-0.039757
18:45:09.594,180.227638,-2.739669,-0.012907
18:45:10.195,180.185066,-2.787872,0.000000
18:45:11.195,180.141000,-2.830045,0.000000
18:45:12.406,180.096682,-2.866380,0.000000
18:45:13.195,180.053859,-2.896552,-0.019474
18:45:13.492,180.012934,-2.920606,-0.059983
18:45:14.414,179.972367,-2.939652,-0.157474
18:45:14.797,179.929482,-2.954968,-0.322809
18:45:15.313,179.882246,-2.967676,-0.528916
18:45:15.594,179.829916,-2.978387,-0.739319
18:45:16.273,179.772612,-2.987133,-0.889682
18:45:16.594,179.711134,-2.993569,-0.979045
18:45:17.180,179.646475,-2.997219,-1.018595
18:45:18.102,179.579921,-2.997602,-1.033586
18:45:18.398,179.512408,-2.994643,-1.056278
18:45:19.070,179.444307,-2.988672,-1.064214
18:45:19.398,179.375735,-2.980447,-1.052400
18:45:20.117,179.306976,-2.970986,-0.995674
18:45:20.797,179.238965,-2.961541,-0.907344
18:45:21.172,179.172902,-2.953333,-0.822240
18:45:22.117,179.110009,-2.947345,-0.764117
18:45:22.594,179.050884,-2.944170,-0.773511
18:45:22.945,178.995104,-2.943925,-0.805188
18:45:23.375,178.941903,-2.946305,-0.810176
18:45:23.797,178.891025,-2.950841,-0.730383
18:45:24.422,178.843052,-2.956928,-0.599850
18:45:24.859,178.798109,-2.963885,-0.503357
18:45:25.195,178.754976,-2.971088,-0.479060
18:45:25.453,178.711662,-2.978034,-0.498173
18:45:25.961,178.666695,-2.984477,-0.500672
18:45:26.398,178.620331,-2.990279,-0.440248
18:45:27.055,178.574226,-2.995132,-0.328258
18:45:27.586,178.530030,-2.998498,-0.200488
18:45:27.992,178.488325,-2.999695,-0.099158
18:45:28.398,178.448781,-2.998130,-0.036095
18:45:29.125,178.411046,-2.993301,-0.011718
18:45:29.594,178.375338,-2.985056,0.000000
18:45:30.227,178.342325,-2.973764,0.000000
18:45:30.813,178.312591,-2.960481,0.000000
18:45:31.984,178.286143,-2.946904,0.000000
18:45:32.563,178.262051,-2.934894,0.000000
18:45:33.031,178.238541,-2.925933,0.000000
18:45:33.492,178.213817,-2.920770,0.000000
18:45:34.055,178.186782,-2.919542,-0.013423
18:45:34.539,178.157263,-2.922037,-0.041347
18:45:35.055,178.125400,-2.927990,-0.113195
18:45:35.547,178.091086,-2.937210,-0.228454
18:45:36.094,178.054173,-2.949548,-0.373126
18:45:36.398,178.015061,-2.964717,-0.498897
18:45:37.094,177.975386,-2.982421,-0.550984
18:45:37.398,177.938026,-3.002491,-0.504136
18:45:38.141,177.906205,-3.024688,-0.380554
18:45:38.711,177.882208,-3.048570,-0.234728
18:45:39.164,177.866620,-3.073469,-0.116933
18:45:39.703,177.858541,-3.098584,-0.043149
18:45:40.234,177.856363,-3.123449,-0.014008
18:45:40.594,177.858649,-3.147782,0.000000
18:45:41.156,177.864232,-3.171800,0.000000
18:45:41.570,177.871776,-3.195952,0.000000
18:45:42.195,177.879560,-3.220835,0.000000
18:45:42.594,177.885559,-3.246930,0.000000
18:45:43.078,177.887974,-3.274409,0.000000
18:45:43.641,177.885766,-3.302415,0.000000
18:45:44.172,177.878732,-3.329209,0.000000
18:45:44.625,177.867105,-3.353320,0.000000
18:45:45.148,177.851229,-3.374468,0.000000
18:45:45.555,177.831433,-3.393246,0.000000
18:45:45.977,177.808179,-3.410246,-0.010121
18:45:46.406,177.782300,-3.425328,-0.031173
18:45:46.984,177.754897,-3.437959,-0.074781
18:45:47.484,177.726820,-3.447598,-0.139709
18:45:47.797,177.698570,-3.453680,-0.203276
18:45:48.070,177.670721,-3.455500,-0.230342
18:45:48.602,177.644370,-3.452672,-0.203276
18:45:49.078,177.621056,-3.444360,-0.139709
18:45:49.500,177.602149,-3.429454,-0.074781
18:45:50.102,177.588251,-3.407058,-0.031173
18:45:50.586,177.579105,-3.376560,-0.010121
18:45:51.031,177.573876,-3.338042,0.000000
18:45:51.438,177.571486,-3.291816,0.000000
18:45:51.797,177.570970,-3.238032,0.000000
18:45:52.398,177.571730,-3.177739,0.000000
18:45:53.023,177.573389,-3.113199,0.000000
18:45:53.398,177.575511,-3.047554,0.000000
18:45:54.148,177.577490,-2.983467,0.000000
18:45:54.594,177.578708,-2.922535,0.000000
18:45:55.023,177.578902,-2.865203,0.000000
18:45:55.438,177.578344,-2.811143,0.000000
18:45:55.797,177.577678,-2.760177,0.000000
18:45:56.516,177.577559,-2.712715,0.000000
18:45:56.984,177.578261,-2.670459,0.000000
18:45:57.531,177.579430,-2.635971,0.000000
18:45:58.023,177.580270,-2.611100,0.000000
18:45:58.570,177.579954,-2.596496,0.000000
18:45:59.156,177.578036,-2.591357,0.000000
18:45:59.617,177.574393,-2.594097,0.000000
18:46:00.055,177.568941,-2.603266,0.000000
18:46:00.539,177.561335,-2.617749,0.000000
18:46:01.070,177.551173,-2.637003,0.000000
18:46:01.586,177.538549,-2.660883,0.000000
18:46:02.164,177.524447,-2.689298,0.000000
18:46:02.750,177.510599,-2.722120,0.000000
18:46:03.195,177.498655,-2.759193,0.000000
18:46:03.875,177.489296,-2.800548,0.000000
18:46:04.398,177.482071,-2.845387,0.000000
18:46:04.945,177.475936,-2.892028,0.000000
18:46:05.383,177.469979,-2.939617,0.000000
18:46:05.789,177.463716,-2.988237,0.000000
18:46:06.344,177.457152,-3.038838,0.000000
18:46:06.797,177.450715,-3.091472,0.000000
18:46:07.523,177.445241,-3.145102,0.000000
18:46:07.797,177.441937,-3.198562,0.000000
18:46:08.422,177.442157,-3.250907,0.000000
18:46:08.930,177.447085,-3.301333,0.000000
18:46:09.398,177.457282,-3.348425,0.000000
18:46:10.055,177.472344,-3.390875,0.000000
18:46:10.477,177.490763,-3.427399,0.000000
18:46:11.063,177.510107,-3.456851,0.000000
18:46:11.469,177.527588,-3.478873,0.000000
18:46:12.031,177.540782,-3.492973,0.000000
18:46:12.398,177.548267,-3.498943,0.000000
18:46:13.164,177.549887,-3.496865,0.000000
18:46:13.750,177.546480,-3.487303,0.000000
18:46:14.328,177.539321,-3.470944,0.000000
18:46:14.594,177.529484,-3.448059,0.000000
18:46:14.891,177.517615,-3.418539,0.000000
